Colname,Conformity,Continent,Label
"1,1,1,2-Tetrafluoroethane|air|urban air close to ground",Nonconformity,North America,3
"1,1,1-Trifluoroethane|air|non-urban air or from high stacks",Close conformity,North America,2
"1,1,2-Trichloro-1,2,2-trifluoroethane|air|non-urban air or from high stacks",Marginally acceptable conformity,North America,4
"1,1,2-Trichloro-1,2,2-trifluoroethane|air|urban air close to ground",Acceptable conformity,North America,5
1-Pentanol|air|urban air close to ground,Marginally acceptable conformity,North America,1
"2,4-Dichlorophenol|air|urban air close to ground",Acceptable conformity,North America,9
2-Aminopropanol|air|urban air close to ground,Nonconformity,North America,6
2-Methyl-2-butene|air|urban air close to ground,Marginally acceptable conformity,North America,7
2-Nitrobenzoic acid|air|urban air close to ground,Nonconformity,North America,8
4-Methyl-2-pentanone|air|non-urban air or from high stacks,Marginally acceptable conformity,North America,10
Acetaldehyde|air|urban air close to ground,Marginally acceptable conformity,North America,11
Acetamiprid|air|non-urban air or from high stacks,Nonconformity,North America,12
Acetic acid|air|non-urban air or from high stacks,Acceptable conformity,North America,13
Acetone|air|urban air close to ground,Marginally acceptable conformity,North America,14
Acrolein|air|non-urban air or from high stacks,Acceptable conformity,North America,15
Acrolein|air|unspecified,Marginally acceptable conformity,North America,16
Acrylic acid|air|urban air close to ground,Acceptable conformity,North America,17
"Aerosols, radioactive, unspecified|air|non-urban air or from high stacks",Nonconformity,North America,18
"Ammonia|air|low population density, long-term",Acceptable conformity,North America,19
Anthranilic acid|air|urban air close to ground,Marginally acceptable conformity,North America,20
Antimony-125|air|non-urban air or from high stacks,Acceptable conformity,North America,21
Arsine|air|urban air close to ground,Marginally acceptable conformity,North America,22
"Beryllium II|air|low population density, long-term",Nonconformity,North America,23
"Bromine|air|low population density, long-term",Marginally acceptable conformity,North America,24
Bromine|air|non-urban air or from high stacks,Marginally acceptable conformity,North America,25
Bromine|air|urban air close to ground,Acceptable conformity,North America,26
Butadiene|air|urban air close to ground,Marginally acceptable conformity,North America,27
Butanol|air|urban air close to ground,Marginally acceptable conformity,North America,28
Butene|air|urban air close to ground,Acceptable conformity,North America,29
"Cadmium II|air|low population density, long-term",Marginally acceptable conformity,North America,30
Calcium II|air|unspecified,Marginally acceptable conformity,North America,31
"Carbon dioxide, fossil|air|non-urban air or from high stacks",Nonconformity,North America,33
"Carbon dioxide, from soil or biomass stock|air|unspecified",Acceptable conformity,North America,34
Carbon-14|air|non-urban air or from high stacks,Acceptable conformity,North America,32
Chloramine|air|urban air close to ground,Acceptable conformity,North America,35
