Continent,Conformity,Colname,Label
Asia,Acceptable conformity,"Carbon dioxide, fossil|air|lower stratosphere + upper troposphere",1
Asia,Nonconformity,"Carbon dioxide, fossil|air|non-urban air or from high stacks",2
Asia,Nonconformity,"Carbon dioxide, fossil|air|unspecified",3
Asia,Nonconformity,"Carbon dioxide, fossil|air|urban air close to ground",4
Asia,Nonconformity,"Carbon dioxide, from soil or biomass stock|air|non-urban air or from high stacks",5
Asia,Nonconformity,"Carbon dioxide, from soil or biomass stock|air|unspecified",6
Asia,Marginally acceptable conformity,"Carbon dioxide, in air|natural resource|in air",7
Asia,Nonconformity,"Carbon dioxide, non-fossil|air|non-urban air or from high stacks",8
Asia,Marginally acceptable conformity,"Carbon dioxide, non-fossil|air|unspecified",9
Asia,Nonconformity,"Carbon dioxide, non-fossil|air|urban air close to ground",10
Asia,Nonconformity,"Carbon dioxide, to soil or biomass stock|soil|agricultural",11
Asia,Nonconformity,"Carbon dioxide, to soil or biomass stock|soil|unspecified",12
Asia,Acceptable conformity,Carbon disulfide|air|non-urban air or from high stacks,13
Asia,Nonconformity,Carbon disulfide|air|unspecified,14
Asia,Marginally acceptable conformity,Carbon disulfide|air|urban air close to ground,15
Asia,Nonconformity,Carbon disulfide|water|surface water,16
Asia,Marginally acceptable conformity,"Carbon monoxide, fossil|air|lower stratosphere + upper troposphere",17
Asia,Nonconformity,"Carbon monoxide, fossil|air|non-urban air or from high stacks",18
Asia,Nonconformity,"Carbon monoxide, fossil|air|unspecified",19
Asia,Nonconformity,"Carbon monoxide, fossil|air|urban air close to ground",20
Asia,Nonconformity,"Carbon monoxide, from soil or biomass stock|air|non-urban air or from high stacks",21
Asia,Nonconformity,"Carbon monoxide, non-fossil|air|non-urban air or from high stacks",22
Asia,Nonconformity,"Carbon monoxide, non-fossil|air|unspecified",23
Asia,Nonconformity,"Carbon monoxide, non-fossil|air|urban air close to ground",24
Asia,Nonconformity,Carbon tetrachloride|air|unspecified,25
Asia,Nonconformity,Carbon tetrachloride|air|urban air close to ground,26
Asia,Nonconformity,Carbon tetrachloride|water|unspecified,27
Europe,Marginally acceptable conformity,"Carbon dioxide, fossil|air|lower stratosphere + upper troposphere",1
Europe,Acceptable conformity,"Carbon dioxide, fossil|air|non-urban air or from high stacks",2
Europe,Acceptable conformity,"Carbon dioxide, fossil|air|unspecified",3
Europe,Marginally acceptable conformity,"Carbon dioxide, fossil|air|urban air close to ground",4
Europe,Close conformity,"Carbon dioxide, from soil or biomass stock|air|non-urban air or from high stacks",5
Europe,Acceptable conformity,"Carbon dioxide, from soil or biomass stock|air|unspecified",6
Europe,Acceptable conformity,"Carbon dioxide, in air|natural resource|in air",7
Europe,Acceptable conformity,"Carbon dioxide, non-fossil|air|non-urban air or from high stacks",8
Europe,Acceptable conformity,"Carbon dioxide, non-fossil|air|unspecified",9
Europe,Nonconformity,"Carbon dioxide, non-fossil|air|urban air close to ground",10
Europe,Acceptable conformity,"Carbon dioxide, to soil or biomass stock|soil|agricultural",11
Europe,Acceptable conformity,"Carbon dioxide, to soil or biomass stock|soil|unspecified",12
Europe,Marginally acceptable conformity,Carbon disulfide|air|non-urban air or from high stacks,13
Europe,Marginally acceptable conformity,Carbon disulfide|air|unspecified,14
Europe,Acceptable conformity,Carbon disulfide|air|urban air close to ground,15
Europe,Acceptable conformity,Carbon disulfide|water|surface water,16
Europe,Acceptable conformity,"Carbon monoxide, fossil|air|lower stratosphere + upper troposphere",17
Europe,Acceptable conformity,"Carbon monoxide, fossil|air|non-urban air or from high stacks",18
