"","Database","Column","ChiSq","ChiSqP","MantissaArcTest","MantissaArcTestP","MADConformity","MAD","NumberOfObservations"
"2","Ecoinvent","1,1,1,2-Tetrafluoroethane|air|non-urban air or from high stacks",102.298216020293,1.44643518479521e-18,0.000167601611700809,0.0265406516159684,"Acceptable conformity",0.00649636613765567,21653
"3","Ecoinvent","1,1,1,2-Tetrafluoroethane|air|unspecified",192.478351666149,2.45114083040018e-37,0.00252106383230191,1.91699239425952e-24,"Acceptable conformity",0.00768988168442097,21662
"4","Ecoinvent","1,1,1,2-Tetrafluoroethane|air|urban air close to ground",164.386043501619,1.93340735006198e-31,0.000471261617105701,3.701350191776e-05,"Close conformity",0.00568347061400708,21653
"5","Ecoinvent","1,1,1-Trichloroethane|air|non-urban air or from high stacks",144.216852330347,3.1456137137265e-27,0.00110684119596399,3.90400756664387e-11,"Acceptable conformity",0.00673037355755492,21653
"6","Ecoinvent","1,1,1-Trichloroethane|air|unspecified",151.334793730039,1.03269366376706e-28,0.00251519524715077,2.22669749824432e-24,"Acceptable conformity",0.00763667881222361,21653
"7","Ecoinvent","1,1,1-Trichloroethane|water|surface water",58.3927933115186,9.62361255687638e-10,2.05502711230341e-05,0.640734936748094,"Close conformity",0.00413806567198299,21661
"8","Ecoinvent","1,1,1-Trichloroethane|water|unspecified",111.475790540678,1.89329091740114e-20,0.00293015107542832,2.78938563083759e-28,"Acceptable conformity",0.00704854253914464,21653
"9","Ecoinvent","1,1,1-Trifluoroethane|air|non-urban air or from high stacks",83.2662225465094,1.07346221979191e-14,0.000301543303946181,0.00146000245705831,"Close conformity",0.00428879212585527,21653
"10","Ecoinvent","1,1,1-Trifluoroethane|air|unspecified",37.7426123079569,8.39886840018877e-06,0.646885324245252,0.00565574976388029,"Nonconformity",0.143959440419697,8
"11","Ecoinvent","1,1,2-Trichloro-1,2,2-trifluoroethane|air|non-urban air or from high stacks",81.1134358234826,2.91728958658961e-14,0.00106362371966849,9.95217998310932e-11,"Close conformity",0.00537352560942699,21653
"12","Ecoinvent","1,1,2-Trichloro-1,2,2-trifluoroethane|air|unspecified",130.049505290792,2.76299199540176e-24,0.00187868960374449,2.15386883676481e-18,"Acceptable conformity",0.00734616628613149,21653
