"","Database","Column","ChiSq","ChiSqP","MantissaArcTest","MantissaArcTestP","MADConformity","MAD","NumberOfObservations"
"1","Ecoinvent","1,1,1,2-Tetrafluoroethane|air|non-urban air or from high stacks",102.298216020293,1.44643518479519e-18,0.000167601611700813,0.0265406516159658,"Acceptable conformity",0.00649636613765567,21653
"2","Ecoinvent","1,1,1,2-Tetrafluoroethane|air|unspecified",192.478351666149,2.45114083040018e-37,0.00252106383230188,1.91699239426057e-24,"Acceptable conformity",0.00768988168442097,21662
"3","Ecoinvent","1,1,1,2-Tetrafluoroethane|air|urban air close to ground",164.386043501619,1.93340735006198e-31,0.000471261617105703,3.70135019177584e-05,"Close conformity",0.00568347061400708,21653
"4","Ecoinvent","1,1,1-Trichloroethane|air|non-urban air or from high stacks",144.216852330347,3.1456137137265e-27,0.00110684119596399,3.90400756664415e-11,"Acceptable conformity",0.00673037355755492,21653
"5","Ecoinvent","1,1,1-Trichloroethane|air|unspecified",151.334793730039,1.03269366376706e-28,0.00251519524715075,2.22669749824502e-24,"Acceptable conformity",0.00763667881222361,21653
"6","Ecoinvent","1,1,1-Trichloroethane|water|surface water",58.3927933115186,9.62361255687638e-10,2.05502711230328e-05,0.640734936748112,"Close conformity",0.00413806567198299,21661
"7","Ecoinvent","1,1,1-Trichloroethane|water|unspecified",111.475790540678,1.89329091740114e-20,0.0029301510754283,2.7893856308388e-28,"Acceptable conformity",0.00704854253914464,21653
"8","Ecoinvent","1,1,1-Trifluoroethane|air|non-urban air or from high stacks",83.2662225465094,1.07346221979192e-14,0.000301543303946183,0.00146000245705824,"Close conformity",0.00428879212585527,21653
"9","Ecoinvent","1,1,2-Trichloro-1,2,2-trifluoroethane|air|non-urban air or from high stacks",81.1134358234826,2.91728958658961e-14,0.00106362371966847,9.95217998311222e-11,"Close conformity",0.00537352560942699,21653
"10","Ecoinvent","1,1,2-Trichloro-1,2,2-trifluoroethane|air|unspecified",130.049505290792,2.76299199540176e-24,0.00187868960374447,2.15386883676601e-18,"Acceptable conformity",0.00734616628613149,21653
"11","Ecoinvent","1,1,2-Trichloro-1,2,2-trifluoroethane|air|urban air close to ground",58.8846544146052,7.71039025546709e-10,0.000140052598025346,0.0481989109564777,"Close conformity",0.00472885731672371,21652
"12","Ecoinvent","1,1-Difluoroethane|air|non-urban air or from high stacks",182.228297252843,3.50437392368675e-35,0.000267257216238153,0.00306741373751319,"Acceptable conformity",0.00684827848559445,21653
"13","Ecoinvent","1,1-Difluoroethane|air|urban air close to ground",150.214062515795,1.7692154055522e-28,0.000154421984404835,0.0353061104901994,"Acceptable conformity",0.00737177435698908,21653
"14","Ecoinvent","1,3-Dichloropropene|soil|agricultural",173.7628002501,2.09699281706123e-33,0.00151432601104518,5.7492837265226e-15,"Acceptable conformity",0.00931364596718116,21653
"15","Ecoinvent","1,4-Butanediol|air|urban air close to ground",284.250859785956,9.22089581629042e-57,0.00301644603785356,4.30536379348658e-29,"Acceptable conformity",0.0107842126458003,21653
"16","Ecoinvent","1,4-Butanediol|water|surface water",391.267039378201,1.38132904047672e-79,0.00285888434391355,1.27571108558237e-27,"Acceptable conformity",0.0113521204720957,21661
"17","Ecoinvent","1-Pentanol|air|urban air close to ground",79.7251015713039,5.55305050558253e-14,1.69778973150431e-05,0.692378567171053,"Close conformity",0.00490974573236339,21653
"18","Ecoinvent","1-Pentanol|water|surface water",46.399823670898,1.99515405791458e-07,1.71254393287502e-05,0.690075586802452,"Close conformity",0.00429323109297941,21661
"19","Ecoinvent","1-Pentene|air|urban air close to ground",332.433533613756,5.06652710497377e-67,0.00283140743689483,2.36631118305776e-27,"Acceptable conformity",0.00930423990188265,21653
"20","Ecoinvent","1-Pentene|water|surface water",49.6962236606049,4.67447810897606e-08,1.71263721635517e-05,0.690061643183109,"Close conformity",0.00456746032763548,21661
"21","Ecoinvent","2,2,4-Trimethylpentane|air|unspecified",106.738756999052,1.77963607357976e-19,0.000459936266735424,4.7126293054228e-05,"Acceptable conformity",0.00613548856765086,21661
"22","Ecoinvent","2,4-D|air|non-urban air or from high stacks",160.056150486119,1.55669622199678e-30,0.00169932395933903,1.03283268255561e-16,"Acceptable conformity",0.00612527285260577,21661
"23","Ecoinvent","2,4-D|soil|agricultural",328.303159704525,3.84963523071968e-66,0.00070301498473919,2.435344114134e-07,"Acceptable conformity",0.0111656963726557,21661
"24","Ecoinvent","2,4-D|soil|forestry",219.605608135086,4.66504509314434e-43,0.00168220726730664,1.51668575345947e-16,"Acceptable conformity",0.00901496833617481,21653
"25","Ecoinvent","2,4-D|water|ground-",182.437565786518,3.16699322539588e-35,0.00167355638031147,1.82913867201049e-16,"Acceptable conformity",0.00834272001334211,21653
"26","Ecoinvent","2,4-D|water|unspecified",179.792443084017,1.1381830202313e-34,0.00168164879077501,1.53513791092387e-16,"Acceptable conformity",0.00902007034201096,21653
"27","Ecoinvent","2,4-D dimethylamine salt|air|non-urban air or from high stacks",223.504978357737,6.99585585259338e-44,0.00347552808672665,2.07445487206777e-33,"Acceptable conformity",0.00965004575417925,21653
"28","Ecoinvent","2,4-D dimethylamine salt|soil|agricultural",182.4252159274,3.18596976125635e-35,0.00179572560298306,1.29835762388684e-17,"Acceptable conformity",0.00935672618437803,21653
"29","Ecoinvent","2,4-D dimethylamine salt|water|ground-",263.683910516834,2.15622992843921e-52,0.00356748705633196,2.83231934075855e-34,"Acceptable conformity",0.0107316965538822,21653
"30","Ecoinvent","2,4-D dimethylamine salt|water|surface water",226.709536664966,1.470149164617e-44,0.00358496432864123,1.93994680719736e-34,"Acceptable conformity",0.00887030305841156,21653
"31","Ecoinvent","2,4-D ester|air|non-urban air or from high stacks",200.560715430618,4.86795172331554e-39,0.00339878602666398,1.09287205135653e-32,"Acceptable conformity",0.00867507179624682,21653
"32","Ecoinvent","2,4-D ester|soil|agricultural",210.629992564645,3.66459989601242e-41,0.00127313815892675,1.06583716488837e-12,"Acceptable conformity",0.00813737353874648,21653
"33","Ecoinvent","2,4-D ester|water|ground-",130.801610859527,1.92955981816592e-24,0.00166155348110369,2.37202485971251e-16,"Acceptable conformity",0.00710703715788211,21653
"34","Ecoinvent","2,4-D ester|water|surface water",140.664959017058,1.72568423340094e-26,0.0016540110131705,2.79284564286645e-16,"Acceptable conformity",0.00666258137527433,21653
"35","Ecoinvent","2,4-DB|air|non-urban air or from high stacks",218.433166063032,8.25159917733599e-43,0.00333133445491876,4.70835233191664e-32,"Acceptable conformity",0.00931348807121228,21653
"36","Ecoinvent","2,4-DB|soil|agricultural",66.8699139491425,2.05754179906488e-11,0.00060162892664228,2.19996050818684e-06,"Close conformity",0.00459068052727654,21653
"37","Ecoinvent","2,4-DB|water|ground-",100.891260338091,2.80629791917229e-18,0.000758792675595706,7.31950673137554e-08,"Acceptable conformity",0.00700320664712541,21653
