Continent,Conformity,Colname,Label
Asia,Acceptable conformity,"Carbon dioxide, fossil|air|lower stratosphere + upper troposphere",1
Asia,Nonconformity,"Carbon dioxide, fossil|air|non-urban air or from high stacks",2
Asia,Nonconformity,"Carbon dioxide, fossil|air|unspecified",3
Asia,Nonconformity,"Carbon dioxide, fossil|air|urban air close to ground",4
Asia,Nonconformity,"Carbon dioxide, from soil or biomass stock|air|non-urban air or from high stacks",5
Asia,Nonconformity,"Carbon dioxide, from soil or biomass stock|air|unspecified",6
Asia,Marginally acceptable conformity,"Carbon dioxide, in air|natural resource|in air",7
Asia,Nonconformity,"Carbon dioxide, non-fossil|air|non-urban air or from high stacks",8
Asia,Marginally acceptable conformity,"Carbon dioxide, non-fossil|air|unspecified",9
Asia,Nonconformity,"Carbon dioxide, non-fossil|air|urban air close to ground",10
Asia,Nonconformity,"Carbon dioxide, to soil or biomass stock|soil|agricultural",11
Asia,Nonconformity,"Carbon dioxide, to soil or biomass stock|soil|unspecified",12
Asia,Nonconformity,Chlorodifluoromethane|air|non-urban air or from high stacks,13
Asia,Marginally acceptable conformity,Chlorodifluoromethane|air|unspecified,14
Asia,Nonconformity,Chlorodifluoromethane|air|urban air close to ground,15
Asia,Nonconformity,Dichlorodifluoromethane|air|urban air close to ground,16
Asia,Nonconformity,Dichlorofluoromethane|air|urban air close to ground,17
Asia,Nonconformity,Dichloromethane|air|non-urban air or from high stacks,18
Asia,Nonconformity,Dichloromethane|air|unspecified,19
Asia,Nonconformity,Dichloromethane|air|urban air close to ground,20
Asia,Close conformity,Dichloromethane|water|surface water,21
Asia,Nonconformity,Difluoromethane|air|unspecified,22
Asia,Nonconformity,"Methane, bromo-, Halon 1001|air|unspecified",23
Asia,Acceptable conformity,"Methane, bromo-, Halon 1001|air|urban air close to ground",24
Asia,Nonconformity,"Methane, bromochlorodifluoro-, Halon 1211|air|non-urban air or from high stacks",25
Asia,Marginally acceptable conformity,"Methane, bromotrifluoro-, Halon 1301|air|non-urban air or from high stacks",26
Asia,Nonconformity,"Methane, bromotrifluoro-, Halon 1301|air|urban air close to ground",27
Asia,Nonconformity,"Methane, fossil|air|non-urban air or from high stacks",28
Asia,Nonconformity,"Methane, fossil|air|unspecified",29
Asia,Marginally acceptable conformity,"Methane, fossil|air|urban air close to ground",30
Asia,Nonconformity,"Methane, from soil or biomass stock|air|non-urban air or from high stacks",31
Asia,Nonconformity,"Methane, non-fossil|air|non-urban air or from high stacks",32
Asia,Nonconformity,"Methane, non-fossil|air|unspecified",33
Asia,Nonconformity,"Methane, non-fossil|air|urban air close to ground",34
Asia,Acceptable conformity,Methanesulfonic acid|air|urban air close to ground,35
Asia,Nonconformity,"NMVOC, non-methane volatile organic compounds|air|lower stratosphere + upper troposphere",36
Asia,Nonconformity,"NMVOC, non-methane volatile organic compounds|air|non-urban air or from high stacks",37
Asia,Nonconformity,"NMVOC, non-methane volatile organic compounds|air|unspecified",38
Asia,Nonconformity,"NMVOC, non-methane volatile organic compounds|air|urban air close to ground",39
Asia,Nonconformity,Ozone|air|unspecified,40
Asia,Nonconformity,Ozone|air|urban air close to ground,41
Asia,Marginally acceptable conformity,Sulfur hexafluoride|air|unspecified,42
Asia,Nonconformity,Sulfur hexafluoride|air|urban air close to ground,43
Asia,Nonconformity,Tetrafluoromethane|air|unspecified,44
Asia,Nonconformity,Tetrafluoromethane|air|urban air close to ground,45
Asia,Nonconformity,Trichlorofluoromethane|air|urban air close to ground,46
Asia,Nonconformity,Trifluoromethane|air|non-urban air or from high stacks,47
