Continent,Conformity,Colname,Label
Asia,Nonconformity,"Arsenic ion|air|low population density, long-term",1
Asia,Nonconformity,Arsenic ion|air|non-urban air or from high stacks,2
Asia,Nonconformity,Arsenic ion|air|unspecified,3
Asia,Nonconformity,Arsenic ion|air|urban air close to ground,4
Asia,Nonconformity,Arsenic ion|soil|agricultural,5
Asia,Marginally acceptable conformity,Arsenic ion|soil|industrial,6
Asia,Nonconformity,Arsenic ion|soil|unspecified,7
Asia,Marginally acceptable conformity,Arsenic ion|water|ground-,8
Asia,Nonconformity,"Arsenic ion|water|ground-, long-term",9
Asia,Marginally acceptable conformity,Arsenic ion|water|ocean,10
Asia,Nonconformity,Arsenic ion|water|surface water,11
Asia,Nonconformity,Arsenic ion|water|unspecified,12
Asia,Nonconformity,Cadmium|natural resource|in ground,26
Asia,Nonconformity,"Cadmium II|air|low population density, long-term",13
Asia,Marginally acceptable conformity,Cadmium II|air|lower stratosphere + upper troposphere,14
Asia,Nonconformity,Cadmium II|air|non-urban air or from high stacks,15
Asia,Nonconformity,Cadmium II|air|unspecified,16
Asia,Nonconformity,Cadmium II|air|urban air close to ground,17
Asia,Nonconformity,Cadmium II|soil|agricultural,18
Asia,Nonconformity,Cadmium II|soil|forestry,19
Asia,Nonconformity,Cadmium II|soil|industrial,20
Asia,Nonconformity,Cadmium II|soil|unspecified,21
Asia,Nonconformity,Cadmium II|water|ground-,22
Asia,Nonconformity,"Cadmium II|water|ground-, long-term",23
Asia,Nonconformity,Cadmium II|water|ocean,24
Asia,Nonconformity,Cadmium II|water|surface water,25
Asia,Marginally acceptable conformity,Chromium|natural resource|in ground,51
Asia,Acceptable conformity,"Chromium III|air|low population density, long-term",29
Asia,Nonconformity,Chromium III|air|lower stratosphere + upper troposphere,30
Asia,Acceptable conformity,Chromium III|air|non-urban air or from high stacks,31
Asia,Nonconformity,Chromium III|air|unspecified,32
Asia,Nonconformity,Chromium III|air|urban air close to ground,33
Asia,Nonconformity,Chromium III|soil|agricultural,34
Asia,Nonconformity,Chromium III|soil|forestry,35
Asia,Nonconformity,Chromium III|soil|industrial,36
Asia,Nonconformity,Chromium III|soil|unspecified,37
Asia,Nonconformity,Chromium III|water|ground-,38
Asia,Nonconformity,Chromium III|water|ocean,39
Asia,Nonconformity,Chromium III|water|surface water,40
Asia,Nonconformity,Chromium III|water|unspecified,41
Asia,Nonconformity,"Chromium VI|air|low population density, long-term",42
Asia,Nonconformity,Chromium VI|air|non-urban air or from high stacks,43
Asia,Nonconformity,Chromium VI|air|unspecified,44
Asia,Nonconformity,Chromium VI|air|urban air close to ground,45
Asia,Nonconformity,Chromium VI|soil|unspecified,46
Asia,Marginally acceptable conformity,Chromium VI|water|ground-,47
Asia,Nonconformity,"Chromium VI|water|ground-, long-term",48
Asia,Nonconformity,Chromium VI|water|surface water,49
Asia,Nonconformity,Chromium VI|water|unspecified,50
Asia,Nonconformity,Chromium-51|air|non-urban air or from high stacks,27
Asia,Nonconformity,Chromium-51|water|surface water,28
Asia,Marginally acceptable conformity,Copper|natural resource|in ground,70
Asia,Nonconformity,"Copper ion|air|low population density, long-term",52
Asia,Nonconformity,Copper ion|air|lower stratosphere + upper troposphere,53
Asia,Acceptable conformity,Copper ion|air|non-urban air or from high stacks,54
Asia,Acceptable conformity,Copper ion|air|unspecified,55
Asia,Nonconformity,Copper ion|air|urban air close to ground,56
Asia,Nonconformity,Copper ion|soil|agricultural,57
Asia,Nonconformity,Copper ion|soil|industrial,58
Asia,Nonconformity,Copper ion|soil|unspecified,59
Asia,Nonconformity,Copper ion|water|ground-,60
Asia,Nonconformity,"Copper ion|water|ground-, long-term",61
Asia,Nonconformity,Copper ion|water|ocean,62
Asia,Nonconformity,Copper ion|water|surface water,63
Asia,Nonconformity,Copper ion|water|unspecified,64
Asia,Nonconformity,Copper oxide|soil|agricultural,65
Asia,Nonconformity,Copper oxychloride|air|non-urban air or from high stacks,66
Asia,Nonconformity,Copper oxychloride|soil|agricultural,67
