Colname,Conformity,Continent,Label
"2,4-DB|soil|agricultural",Nonconformity,North America,1
Acrinathrin|soil|agricultural,Acceptable conformity,North America,2
Aluminium III|soil|industrial,Nonconformity,North America,3
Antimony ion|soil|agricultural,Nonconformity,North America,4
Asulam|soil|agricultural,Acceptable conformity,North America,5
Atrazine|soil|agricultural,Nonconformity,North America,6
Barium II|soil|agricultural,Nonconformity,North America,7
Benomyl|soil|agricultural,Marginally acceptable conformity,North America,8
Beryllium II|soil|industrial,Marginally acceptable conformity,North America,9
Beryllium II|soil|unspecified,Nonconformity,North America,10
Beta-cyfluthrin|soil|agricultural,Acceptable conformity,North America,11
Boron|soil|agricultural,Nonconformity,North America,12
Boron|soil|industrial,Marginally acceptable conformity,North America,13
Bromine|soil|industrial,Acceptable conformity,North America,14
Calcium II|soil|unspecified,Nonconformity,North America,15
Carbon|soil|industrial,Marginally acceptable conformity,North America,16
Carbon|soil|unspecified,Acceptable conformity,North America,17
Chlormequat|soil|agricultural,Nonconformity,North America,18
Chlorothalonil|soil|agricultural,Nonconformity,North America,19
Chlorotoluron|soil|agricultural,Nonconformity,North America,20
Clothianidin|soil|agricultural,Nonconformity,North America,21
Deltamethrin|soil|agricultural,Marginally acceptable conformity,North America,22
Diafenthiuron|soil|agricultural,Nonconformity,North America,23
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin|soil|unspecified",Acceptable conformity,North America,24
Ethephon|soil|agricultural,Nonconformity,North America,25
Fenoxaprop ethyl ester|soil|agricultural,Nonconformity,North America,26
Flonicamid|soil|agricultural,Nonconformity,North America,27
Fluazifop-P-butyl|soil|agricultural,Nonconformity,North America,28
Fludioxonil|soil|forestry,Marginally acceptable conformity,North America,29
Flumioxazin|soil|forestry,Nonconformity,North America,30
Fluquinconazole|soil|agricultural,Marginally acceptable conformity,North America,31
Glufosinate|soil|agricultural,Acceptable conformity,North America,33
Glufosinate ammonium|soil|agricultural,Marginally acceptable conformity,North America,32
Glyphosate|soil|forestry,Nonconformity,North America,34
"Heat, waste|soil|agricultural",Nonconformity,North America,35
"Hydrocarbons, unspecified|soil|unspecified",Nonconformity,North America,36
Imazethapyr|soil|agricultural,Acceptable conformity,North America,37
Iodosulfuron|soil|agricultural,Nonconformity,North America,38
Iron ion|soil|industrial,Nonconformity,North America,39
Lenacil|soil|agricultural,Nonconformity,North America,40
Linuron|soil|agricultural,Nonconformity,North America,41
MCPB|soil|agricultural,Acceptable conformity,North America,43
Magnesium|soil|industrial,Marginally acceptable conformity,North America,42
Mecoprop-P|soil|agricultural,Acceptable conformity,North America,44
Mefenpyr-diethyl|soil|agricultural,Marginally acceptable conformity,North America,45
Mercury II|soil|unspecified,Nonconformity,North America,46
Metalaxil|soil|agricultural,Acceptable conformity,North America,47
Metamitron|soil|agricultural,Nonconformity,North America,48
Nitrogen|soil|industrial,Nonconformity,North America,49
Oxyfluorfen|soil|agricultural,Nonconformity,North America,50
Paraquat|soil|agricultural,Marginally acceptable conformity,North America,51
Parathion|soil|agricultural,Marginally acceptable conformity,North America,52
Pendimethalin|soil|agricultural,Nonconformity,North America,53
Phosphorus|soil|unspecified,Acceptable conformity,North America,54
Picoxystrobin|soil|agricultural,Marginally acceptable conformity,North America,55
Piperonyl butoxide|soil|agricultural,Nonconformity,North America,56
Potassium I|soil|unspecified,Nonconformity,North America,57
Prochloraz|soil|agricultural,Nonconformity,North America,58
Propargite|soil|agricultural,Nonconformity,North America,59
Propiconazole|soil|agricultural,Nonconformity,North America,60
Pyrethrum|soil|agricultural,Nonconformity,North America,61
Quinmerac|soil|agricultural,Acceptable conformity,North America,62
Quizalofop-p-ethyl|soil|agricultural,Acceptable conformity,North America,63
Scandium|soil|unspecified,Nonconformity,North America,64
Silicon|soil|unspecified,Marginally acceptable conformity,North America,65
Silver I|soil|unspecified,Nonconformity,North America,66
Strontium II|soil|industrial,Acceptable conformity,North America,67
Sulfentrazone|soil|agricultural,Nonconformity,North America,68
Sulfur|soil|industrial,Marginally acceptable conformity,North America,69
Sulfur|soil|unspecified,Marginally acceptable conformity,North America,70
Thallium I|soil|industrial,Nonconformity,North America,71
Thallium I|soil|unspecified,Marginally acceptable conformity,North America,72
Thifensulfuron-methyl|soil|agricultural,Marginally acceptable conformity,North America,73
Thiram|soil|agricultural,Nonconformity,North America,74
Tin ion|soil|unspecified,Acceptable conformity,North America,75
Titanium ion|soil|agricultural,Nonconformity,North America,76
Titanium ion|soil|industrial,Nonconformity,North America,77
Titanium ion|soil|unspecified,Marginally acceptable conformity,North America,78
Trichlorfon|soil|agricultural,Nonconformity,North America,79
Trifloxystrobin|soil|agricultural,Nonconformity,North America,80
Trifloxystrobin|soil|forestry,Nonconformity,North America,81
Trinexapac-ethyl|soil|agricultural,Nonconformity,North America,82
Vanadium V|soil|industrial,Marginally acceptable conformity,North America,83
Vanadium V|soil|unspecified,Marginally acceptable conformity,North America,84
Zeta-cypermethrin|soil|agricultural,Nonconformity,North America,85
Zinc II|soil|industrial,Nonconformity,North America,86
"2,4-DB|soil|agricultural",Acceptable conformity,Europe,1
Acrinathrin|soil|agricultural,Acceptable conformity,Europe,2
Aluminium III|soil|industrial,Acceptable conformity,Europe,3
Antimony ion|soil|agricultural,Close conformity,Europe,4
Asulam|soil|agricultural,Acceptable conformity,Europe,5
Atrazine|soil|agricultural,Acceptable conformity,Europe,6
Barium II|soil|agricultural,Marginally acceptable conformity,Europe,7
Benomyl|soil|agricultural,Close conformity,Europe,8
Beryllium II|soil|industrial,Acceptable conformity,Europe,9
Beryllium II|soil|unspecified,Marginally acceptable conformity,Europe,10
Beta-cyfluthrin|soil|agricultural,Close conformity,Europe,11
Boron|soil|agricultural,Marginally acceptable conformity,Europe,12
Boron|soil|industrial,Acceptable conformity,Europe,13
Bromine|soil|industrial,Acceptable conformity,Europe,14
Calcium II|soil|unspecified,Marginally acceptable conformity,Europe,15
Carbon|soil|industrial,Acceptable conformity,Europe,16
Carbon|soil|unspecified,Nonconformity,Europe,17
Chlormequat|soil|agricultural,Acceptable conformity,Europe,18
Chlorothalonil|soil|agricultural,Marginally acceptable conformity,Europe,19
Chlorotoluron|soil|agricultural,Acceptable conformity,Europe,20
Clothianidin|soil|agricultural,Acceptable conformity,Europe,21
Deltamethrin|soil|agricultural,Acceptable conformity,Europe,22
Diafenthiuron|soil|agricultural,Close conformity,Europe,23
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin|soil|unspecified",Marginally acceptable conformity,Europe,24
Ethephon|soil|agricultural,Marginally acceptable conformity,Europe,25
Fenoxaprop ethyl ester|soil|agricultural,Acceptable conformity,Europe,26
Flonicamid|soil|agricultural,Acceptable conformity,Europe,27
Fluazifop-P-butyl|soil|agricultural,Acceptable conformity,Europe,28
Fludioxonil|soil|forestry,Acceptable conformity,Europe,29
Flumioxazin|soil|forestry,Close conformity,Europe,30
Fluquinconazole|soil|agricultural,Acceptable conformity,Europe,31
Glufosinate|soil|agricultural,Acceptable conformity,Europe,33
Glufosinate ammonium|soil|agricultural,Acceptable conformity,Europe,32
Glyphosate|soil|forestry,Acceptable conformity,Europe,34
"Heat, waste|soil|agricultural",Marginally acceptable conformity,Europe,35
"Hydrocarbons, unspecified|soil|unspecified",Acceptable conformity,Europe,36
Imazethapyr|soil|agricultural,Acceptable conformity,Europe,37
Iodosulfuron|soil|agricultural,Acceptable conformity,Europe,38
Iron ion|soil|industrial,Acceptable conformity,Europe,39
Lenacil|soil|agricultural,Acceptable conformity,Europe,40
Linuron|soil|agricultural,Acceptable conformity,Europe,41
