Continent,Conformity,Colname,Label
Asia,Marginally acceptable conformity,Arsenic ion|water|ocean,1
Asia,Nonconformity,Arsenic ion|water|surface water,2
Asia,Nonconformity,"Cadmium II|air|low population density, long-term",3
Asia,Nonconformity,Cadmium II|water|surface water,4
Asia,Acceptable conformity,"Chromium III|air|low population density, long-term",6
Asia,Nonconformity,Chromium III|air|unspecified,7
Asia,Nonconformity,"Chromium VI|air|low population density, long-term",8
Asia,Marginally acceptable conformity,Chromium VI|water|ground-,9
Asia,Nonconformity,Chromium-51|air|non-urban air or from high stacks,5
Asia,Nonconformity,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin|air|low population density, long-term",10
Asia,Nonconformity,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin|air|urban air close to ground",11
Asia,Nonconformity,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin|soil|unspecified",12
Asia,Marginally acceptable conformity,Lead|natural resource|in ground,17
Asia,Nonconformity,Lead II|water|surface water,16
Asia,Nonconformity,Lead-210|air|urban air close to ground,13
Asia,Acceptable conformity,Lead-210|water|ocean,14
Asia,Marginally acceptable conformity,Lead-210|water|surface water,15
Asia,Marginally acceptable conformity,Mercury|natural resource|in ground,22
Asia,Nonconformity,Mercury II|air|urban air close to ground,18
Asia,Nonconformity,Mercury II|soil|unspecified,19
Asia,Nonconformity,Mercury II|water|ocean,20
Asia,Nonconformity,Mercury II|water|surface water,21
Asia,Marginally acceptable conformity,"VOC, volatile organic compounds|water|ocean",23
Europe,Acceptable conformity,Arsenic ion|water|ocean,1
Europe,Acceptable conformity,Arsenic ion|water|surface water,2
Europe,Close conformity,"Cadmium II|air|low population density, long-term",3
Europe,Acceptable conformity,Cadmium II|water|surface water,4
Europe,Close conformity,"Chromium III|air|low population density, long-term",6
Europe,Marginally acceptable conformity,Chromium III|air|unspecified,7
Europe,Acceptable conformity,"Chromium VI|air|low population density, long-term",8
Europe,Acceptable conformity,Chromium VI|water|ground-,9
Europe,Acceptable conformity,Chromium-51|air|non-urban air or from high stacks,5
Europe,Acceptable conformity,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin|air|low population density, long-term",10
